Unnamed: 0,"IC50, mM","CC50, mM",SPS,Kappa2,Kappa3,PEOE_VSA8,SMR_VSA4,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState8,MolLogP,SI
0,6.2393737,175.48238,42.92857,6.9475346,2.868737,35.342865,43.480583,12.132734,0.0,4.807589,16.981087,7.1212,28.125
1,0.7718313,5.4028187,45.214287,7.257648,3.0271766,12.083682,33.495773,12.132734,7.9228334,2.153503,4.160013,6.1556,7.0
2,223.80878,161.14232,42.1875,7.709373,3.4700696,23.671625,33.495773,12.132734,0.0,2.1841276,4.160013,7.1292,0.72
3,1.7056243,107.85565,41.86207,7.4852037,3.263848,35.342865,43.480583,12.132734,0.0,4.827852,17.012012,7.5113,3.0443535
4,107.13153,139.271,36.514286,7.6392107,3.3458555,22.253351,43.480583,12.132734,0.0,9.071783,14.692318,3.4337502,1.3
5,15.03791,30.07582,28.6,5.7238927,2.6816847,16.814062,21.740292,36.10105,0.0,1.8987489,7.2917724,5.7783,2.0
6,18.908167,14.559288,36.564102,8.44753,3.6558821,23.671625,33.495773,12.132734,0.0,7.534827,15.32737,3.4337502,0.77
7,28.773087,23.593931,31.333334,5.5228424,2.5672746,13.089513,22.665792,46.22235,6.78455,8.473058,4.160013,3.4337502,0.82
8,50.057068,153.70927,29.157894,5.5228424,2.5672746,11.374773,22.665792,44.50761,6.6974454,1.8987489,4.160013,3.4337502,3.0706806
9,6.4008465,400.90637,36.4,7.540775,3.294634,22.253351,43.480583,37.106655,0.0,6.0333385,14.562935,3.4337502,3.0443535
10,4.185789,32.888344,28.44,5.618467,2.6224897,16.814062,21.740292,18.553328,0.0,9.445349,7.227081,5.9798,7.857143
11,43.522457,72.43598,33.25,5.8673334,3.0498018,5.4149904,11.332896,44.212315,0.0,5.6906815,11.095729,5.5265,1.6643356
12,208.36859,634.6251,38.0,7.668836,3.3612974,23.458454,33.495773,49.899704,7.715113,4.0317726,14.885005,3.4337502,3.0456853
13,1.1288465,5.76966,28.896551,8.794862,4.125617,13.089513,11.332896,23.111176,3.3096755,4.343919,4.160013,5.2783,5.111111
14,10.636446,79.048134,28.733334,8.648957,4.068202,0.0,11.332896,23.111176,3.3609254,4.347639,4.160013,5.4229,7.431818
15,110.14062,110.14062,43.4,7.7540636,3.2485635,12.083682,33.495773,12.132734,0.0,2.1688154,4.160013,6.84,1.0
16,3.2281053,10.429263,44.068966,7.8034873,3.4329026,12.083682,33.495773,12.132734,7.926351,2.1606982,4.160013,6.5457,3.2307692
17,40.393066,1160.7203,42.387096,8.296542,3.6515853,12.083682,33.495773,12.132734,0.0,2.176476,4.160013,7.2301,28.735632
18,32.00014,751.96826,31.384615,6.232725,2.8752735,10.682389,11.332896,0.0,9.882601,1.7499814,7.88023,4.8324,1.0
19,64.13054,283.62888,60.272728,1.8200897,0.8682518,5.538925,23.487385,38.52493,0.0,6.6211805,0.0,1.9139,4.4226804
20,303.46304,244.62163,60.272728,2.007032,0.80725574,6.041841,29.405293,25.683287,0.0,6.167037,0.0,1.7698,0.8061002
21,13.838915,145.6381,47.81818,4.830172,2.4685678,18.001587,29.086615,38.52493,15.053434,-0.14097446,7.342837,3.8981,10.523809
22,83.319305,1426.7004,34.96,7.040798,3.4448843,12.338728,11.835813,0.0,11.074198,0.22236383,4.2137947,3.7296,17.123287
23,440.3981,1067.1079,33.884617,7.0988784,3.172146,12.338728,5.9179063,0.0,21.631304,0.74705976,3.7097208,2.6205,2.423053
24,32.00014,1371.9567,33.884617,7.0988784,3.172146,12.338728,5.9179063,0.0,21.631304,0.74705976,3.7097208,2.6205,0.9798158
25,32.00014,1371.9567,33.884617,7.0988784,3.172146,12.338728,5.9179063,0.0,21.631304,0.74705976,3.7097208,2.6205,1.0
26,466.46527,836.89355,33.884617,7.0988784,3.172146,12.338728,5.9179063,0.0,21.631304,0.74705976,3.7097208,2.6205,1.7941177
27,288.6611,447.71338,28.84,7.0992084,3.13954,5.9179063,5.9179063,0.0,10.535254,2.991574,6.185619,3.4257,1.551
28,32.00014,349.57736,10.733334,3.309315,1.4360628,0.0,0.0,11.761885,20.05584,-0.9013426,0.0,-0.5573,1.4880953
29,32.00014,349.57736,12.8125,3.444961,1.4598042,6.2557693,0.0,6.2557693,19.278263,-1.0250463,0.0,3.4337502,1.0
30,32.00014,349.57736,10.8125,3.8854978,1.6229532,0.0,0.0,11.761885,20.267906,-0.8942564,1.9016681,-0.1672,1.0
31,32.00014,1936.3558,12.764706,4.00892,1.7957667,5.7528534,0.0,0.0,19.49033,-1.0179601,1.6570693,3.4337502,1.0
32,1.7481949,15.484013,20.535715,5.5850325,2.0725,17.019535,0.0,26.84723,3.4937158,4.519759,4.160013,2.62972,8.857142
33,5.244585,27.471636,20.535715,5.5850325,2.0725,17.019535,0.0,26.84723,3.4937158,4.519759,4.160013,2.62972,5.2380953
34,21.910093,71.57297,23.56,4.501731,1.6213233,11.639472,0.0,19.923494,20.714314,-1.2610946,4.0631905,1.79352,3.2666667
35,7.8876333,40.022434,23.56,4.501731,1.6213233,11.639472,0.0,19.923494,20.714314,-1.2610946,4.0631905,1.79352,5.0740743
36,2.1409252,6.4227757,22.67742,5.975998,2.2670903,17.715492,0.0,32.262676,21.185503,-1.6183705,4.1966105,3.42762,3.0
37,4.777997,33.011616,21.529411,7.082777,2.6200984,17.202923,0.0,33.109314,21.367594,-1.0186849,4.2158694,3.84322,6.909091
38,5.301196,70.68262,21.939394,6.922014,2.7665856,16.11219,0.0,19.923494,21.309374,-0.8150886,4.2374873,4.59712,13.333333
39,3.186122,43.106358,18.210526,9.03177,3.7022707,17.019535,5.1014075,38.184017,3.4937158,2.3898625,4.178204,4.50212,13.529411
40,2.4926753,16.681751,18.486486,8.557054,3.6609216,17.019535,5.1014075,49.607616,3.4937158,2.0039158,4.1281605,4.63262,6.6923075
41,15.078486,1344.0651,42.92857,6.9475346,2.868737,35.342865,43.480583,12.132734,0.0,4.807589,16.981087,7.1212,3.0443535
42,9.341075,283.15134,46.64,5.424443,2.2106602,35.342865,43.480583,49.9483,0.0,4.6860633,16.775305,5.9509,30.3125
43,24.230206,390.10632,40.866665,8.036837,3.4322977,35.342865,43.480583,12.132734,0.0,4.84324,17.035702,3.4337502,16.1
44,22.825266,1254.1355,41.86207,7.4852037,3.263848,35.342865,43.480583,12.132734,0.0,4.827852,17.012012,7.5113,3.0443535
